PingItem [client=36831045, server=36306709, time=33661405026505]
PingItem [client=39980753, server=37393031, time=33661487329115]
PingItem [client=34837519, server=35705590, time=33661664311842]
PingItem [client=35142134, server=43886918, time=33661813268344]
PingItem [client=35143990, server=35305279, time=33661971781788]
PingItem [client=36475952, server=31787428, time=33662114494008]
PingItem [client=36165396, server=31844680, time=33662255626335]
PingItem [client=33965416, server=29937930, time=33662393978191]
PingItem [client=36378542, server=31866311, time=33662530816378]
PingItem [client=37264267, server=32100927, time=33662666267079]
SpeedItem [upload=false, thread=0, time=39840627, bytes=1254]
SpeedItem [upload=false, thread=0, time=75251768, bytes=12874]
SpeedItem [upload=false, thread=0, time=85523359, bytes=34022]
SpeedItem [upload=false, thread=0, time=108875392, bytes=37784]
SpeedItem [upload=false, thread=0, time=122370926, bytes=47816]
SpeedItem [upload=false, thread=0, time=180022761, bytes=74484]
SpeedItem [upload=false, thread=0, time=226486141, bytes=135842]
SpeedItem [upload=false, thread=0, time=236735635, bytes=188000]
SpeedItem [upload=false, thread=0, time=259718615, bytes=196778]
SpeedItem [upload=false, thread=0, time=269884148, bytes=204302]
SpeedItem [upload=false, thread=0, time=291580569, bytes=238160]
SpeedItem [upload=false, thread=0, time=304945140, bytes=240668]
SpeedItem [upload=false, thread=0, time=316001098, bytes=248192]
SpeedItem [upload=false, thread=0, time=374200763, bytes=274860]
SpeedItem [upload=false, thread=0, time=385476895, bytes=323432]
SpeedItem [upload=false, thread=0, time=398893239, bytes=325940]
SpeedItem [upload=false, thread=0, time=409935182, bytes=327194]
SpeedItem [upload=false, thread=0, time=420853516, bytes=346004]
SpeedItem [upload=false, thread=0, time=446437969, bytes=348512]
SpeedItem [upload=false, thread=0, time=462427648, bytes=351020]
SpeedItem [upload=false, thread=0, time=482509473, bytes=371084]
SpeedItem [upload=false, thread=0, time=500653451, bytes=373592]
SpeedItem [upload=false, thread=0, time=511290375, bytes=383624]
SpeedItem [upload=false, thread=0, time=531566526, bytes=396164]
SpeedItem [upload=false, thread=0, time=543190745, bytes=398672]
SpeedItem [upload=false, thread=0, time=563673938, bytes=418736]
SpeedItem [upload=false, thread=0, time=577796262, bytes=421244]
