PingItem [client=56360443, server=56607323, time=17535752535200]
PingItem [client=54826155, server=45193489, time=17535880819307]
PingItem [client=61403702, server=46290785, time=17536062668357]
PingItem [client=74705662, server=47597159, time=17536256734541]
PingItem [client=39664605, server=54760820, time=17536470848773]
PingItem [client=396581285, server=80043136, time=17536653316891]
PingItem [client=54775949, server=49908258, time=17537190614652]
PingItem [client=66698685, server=44015893, time=17537391207320]
PingItem [client=52158653, server=50028465, time=17537608679276]
PingItem [client=81962741, server=56005514, time=17537810667660]
SpeedItem [upload=false, thread=0, time=85405181, bytes=4096]
SpeedItem [upload=false, thread=0, time=142689343, bytes=16028]
SpeedItem [upload=false, thread=0, time=160185397, bytes=26476]
SpeedItem [upload=false, thread=0, time=194390660, bytes=38052]
SpeedItem [upload=false, thread=0, time=248128769, bytes=39358]
SpeedItem [upload=false, thread=0, time=264808274, bytes=60254]
SpeedItem [upload=false, thread=0, time=286192300, bytes=72186]
SpeedItem [upload=false, thread=0, time=327527407, bytes=85660]
SpeedItem [upload=false, thread=0, time=369415842, bytes=93674]
SpeedItem [upload=false, thread=0, time=379543649, bytes=115698]
SpeedItem [upload=false, thread=0, time=392736636, bytes=123712]
SpeedItem [upload=false, thread=0, time=409267397, bytes=164020]
SpeedItem [upload=false, thread=0, time=471568429, bytes=171856]
SpeedItem [upload=false, thread=0, time=521689659, bytes=177258]
SpeedItem [upload=false, thread=0, time=534884276, bytes=188834]
SpeedItem [upload=false, thread=0, time=546564002, bytes=226886]
SpeedItem [upload=false, thread=0, time=558929349, bytes=250394]
SpeedItem [upload=false, thread=0, time=612519759, bytes=255440]
SpeedItem [upload=false, thread=0, time=637863809, bytes=260664]
SpeedItem [upload=false, thread=0, time=652396558, bytes=268678]
SpeedItem [upload=false, thread=0, time=665548102, bytes=297232]
SpeedItem [upload=false, thread=0, time=678636503, bytes=318128]
SpeedItem [upload=false, thread=0, time=690528535, bytes=341636]
SpeedItem [upload=false, thread=0, time=715235262, bytes=345554]
SpeedItem [upload=false, thread=0, time=759994699, bytes=349472]
SpeedItem [upload=false, thread=0, time=794813187, bytes=352084]
SpeedItem [upload=false, thread=0, time=805191645, bytes=359920]
SpeedItem [upload=false, thread=0, time=842605491, bytes=375770]
SpeedItem [upload=false, thread=0, time=860379057, bytes=406936]
SpeedItem [upload=false, thread=0, time=870756135, bytes=419996]
SpeedItem [upload=false, thread=0, time=881278589, bytes=438458]
SpeedItem [upload=false, thread=0, time=1013723127, bytes=442198]
SpeedItem [upload=false, thread=0, time=1030158207, bytes=447422]
SpeedItem [upload=false, thread=0, time=1041205538, bytes=486780]
SpeedItem [upload=false, thread=0, time=1051888687, bytes=516818]
SpeedItem [upload=false, thread=0, time=1275545184, bytes=544066]
